iter	Passed	Remaining
563	137409	1811667
564	137651	1811402
565	137855	1810630
566	138145	1811001
567	138372	1810541
568	138651	1810752
569	138877	1810276
570	139154	1810471
571	139389	1810111
572	139595	1809387
573	139856	1809365
574	140202	1810436
575	140499	1810886
576	140957	1813393
577	141298	1814393
578	141608	1814988
579	141924	1815657
580	142160	1815298
581	142396	1814941
